A,B
e1471e8e-3022-42e2-846d-f4ac36ecdaea,dfcf7844-d9d2-4c07-b5a6-fc20332cc0ae
0da1cb18-375a-4f9f-9364-042a82f560ff,081f7903-2217-49f6-b9ad-6199cd28b230
db92f55e-81f6-4763-b64e-7c5cb032d103,081f7903-2217-49f6-b9ad-6199cd28b230
0af8820b-a70d-4279-a0e4-752275509a4a,081f7903-2217-49f6-b9ad-6199cd28b230
0af8820b-a70d-4279-a0e4-752275509a4a,dfcf7844-d9d2-4c07-b5a6-fc20332cc0ae
0af8820b-a70d-4279-a0e4-752275509a4a,80925011-5214-4e57-8d71-503e2c522c18
acb42032-8a3b-4bc0-b8e8-954b5ba50970,5c9a1289-88e8-491d-be4a-7a304307613c
afcf84ff-364d-49bc-9391-a8fdcb893991,5c9a1289-88e8-491d-be4a-7a304307613c
fc04e3f7-2188-4973-b812-27c4b2610636,fa5d6903-7b7b-46b3-8409-d16b27a41b7f
1e6dcf34-bc3e-4974-9d8e-aa6f850a1c3b,2b9febac-f137-450b-9498-f503db869f8b
945689cb-ae00-4d24-acc1-4364cc44c9a0,ac12fe00-1d01-407a-8fea-996b3a9c0e0f
398f3b73-faf0-4e4f-bbfd-770b805ad1c4,dca077a3-0d21-4916-b5c1-2dff3178a1e5
5f7e1192-df68-467a-84eb-77b80720f4e9,dca077a3-0d21-4916-b5c1-2dff3178a1e5
e83dcb1a-ae5e-4656-8eed-6247e82fb00f,dca077a3-0d21-4916-b5c1-2dff3178a1e5
3eabae9e-be85-44ba-885a-4e0ee4343a40,dca077a3-0d21-4916-b5c1-2dff3178a1e5
bde84f60-23f0-4f8f-8d2a-27b14f0a75cc,dca077a3-0d21-4916-b5c1-2dff3178a1e5
0545956b-c68f-4c37-90a4-6c4887f69a4f,33fff50b-ad10-4299-a0ae-1b34209ee08e
31ac0451-ae33-476f-a1ea-3688aa1eed0e,6c8b6e07-ff2b-4630-8fd7-56ffa7643e82
b14cd67a-cd47-4d42-bc97-d5e7c0d83fda,7cdbfb86-4dff-4dfb-ab41-a93289ddde2c
345541fe-1a39-4a9b-b01e-ad68c23441b4,75c9c650-5b95-4497-b389-10eba7fe18a2
9566f4f3-ced2-4aac-ba70-fd38e35faa28,196573db-b6d2-41f4-b083-ab763e6772cf
5c9a1289-88e8-491d-be4a-7a304307613c,196573db-b6d2-41f4-b083-ab763e6772cf
4c09153f-31d5-4012-bd55-a91b8dc68f9b,f93a8749-28f2-492b-9adb-9981d4f2edd5
4c09153f-31d5-4012-bd55-a91b8dc68f9b,22ac9ae0-8fdb-4d5b-8aea-914c538cad9c
fa5d6903-7b7b-46b3-8409-d16b27a41b7f,1a352f80-de5d-4b1d-ac3f-73934469ca26
e99a3653-ad9d-443f-ba4c-80d8cb9d3f54,196573db-b6d2-41f4-b083-ab763e6772cf
2b9febac-f137-450b-9498-f503db869f8b,10e38938-74f4-4e3d-ab5e-3f6280b5ea62
ac12fe00-1d01-407a-8fea-996b3a9c0e0f,10e38938-74f4-4e3d-ab5e-3f6280b5ea62
234c7200-0d6b-495e-8746-0545c4ed275c,4f9fa0b5-c118-4147-93bb-01a69c7c3692
dca077a3-0d21-4916-b5c1-2dff3178a1e5,93d53bca-9ab4-4ccb-8cd5-7286af9497c2
36b26398-9c0d-4c89-ad7e-2973d92c0bde,1a352f80-de5d-4b1d-ac3f-73934469ca26
7cdbfb86-4dff-4dfb-ab41-a93289ddde2c,12133ed4-e833-47bf-9e0a-77e7d746214a
